source_name	sequence_id	n-linked-glycosylation-o1	n-linked-glycosylation-o2	n-linked-glycosylation-o3	n-linked-glycosylation-o4	n-linked-glycosylation-o5	n-linked-glycosylation-o6
ncbi-curated-mammalia-b	XM_005886334	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_006096748	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_006140390	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_006540121	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_006540130	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_006871441	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_006941288	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_007179988	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_007179990	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_007523978	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_007524026	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_007945560	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_007958477	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_007996760	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_008057580	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_008057587	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_008582050	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_008854037	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_008964649	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_010330964	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_010380919	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_010380920	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_010972051	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_010985162	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_011225064	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_011234942	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_011764819	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_011764820	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_011952423	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_011952424	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_011973358	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_011973361	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_012077988	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_012077999	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_012078033	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_012438845	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_012438872	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_012657015	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_012730587	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_012775211	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_012775213	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_013077381	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_014117025	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_014732932	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_014832969	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_015557658	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_016165226	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_016166771	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_016166772	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_016209154	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_016209155	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_016209156	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_016947939	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_017503063	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_017503064	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_017651898	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_017656413	0	1	0	1	0	0
ncbi-curated-mammalia-b	XM_017803384	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_017887367	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_017967394	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_018063174	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_018063271	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_019014911	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_020156959	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_021168771	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_021210483	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_023626728	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_023651251	0	0	1	1	1	1
ncbi-curated-mammalia-b	XM_023760578	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_024237432	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_024351462	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_024577417	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_024577418	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_025268342	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_025367960	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_025368308	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_028165960	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_028529999	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_028530311	0	0	0	1	0	0
ncbi-curated-mammalia-b	XM_028859190	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_029924289	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_030796492	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_032273584	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_032326013	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_032850864	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_033226159	0	0	0	0	0	0
ncbi-curated-mammalia-b	XM_036323965	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_036324441	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_036345646	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_036346724	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_036346728	0	0	0	0	0	1
ncbi-curated-mammalia-b	XM_036346847	0	0	0	1	0	1
ncbi-curated-mammalia-b	XM_036346877	0	0	0	1	0	1
ncbi-refseqs	NM_001346937	0	0	0	0	0	0
