taxon	sequenceID	species	species_superorder	species_order	species_family	species_genus	gene_id	vertebrate_lineage	major_subclade	duplicate_type	duplicate_numeric_id	glycosylation_o1_present	glycosylation_o2_present	glycosylation_o3_present	glycosylation_o4_present	glycosylation_o5_present	glycosylation_o6_present
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_011952423	XM_011952423	Colobus angolensis	Euarchontoglires	Primates	Cercopithecidae	Colobus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_011973358	XM_011973358	Mandrillus leucophaeus	Euarchontoglires	Primates	Cercopithecidae	Mandrillus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_012077999	XM_012077999	Cercocebus atys	Euarchontoglires	Primates	Cercopithecidae	Cercocebus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_012078033	XM_012078033	Cercocebus atys	Euarchontoglires	Primates	Cercopithecidae	Cercocebus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_016165226	XM_016165226	Rousettus aegyptiacus	Laurasiatheria	Chiroptera	Pteropodidae	Rousettus	IFNL	Mammal	2	-	1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_016166771	XM_016166771	Rousettus aegyptiacus	Laurasiatheria	Chiroptera	Pteropodidae	Rousettus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_016209154	XM_016209154	Miniopterus natalensis	Laurasiatheria	Chiroptera	Vespertilionidae	Miniopterus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_016209155	XM_016209155	Miniopterus natalensis	Laurasiatheria	Chiroptera	Vespertilionidae	Miniopterus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_016209156	XM_016209156	Miniopterus natalensis	Laurasiatheria	Chiroptera	Vespertilionidae	Miniopterus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_016947939	XM_016947939	Pan troglodytes	Euarchontoglires	Primates	Hominidae	Pan	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_017503064	XM_017503064	Cebus imitator	Euarchontoglires	Primates	Cebidae	Cebus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_017887367	XM_017887367	Rhinopithecus bieti	Euarchontoglires	Primates	Cercopithecidae	Rhinopithecus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_017967394	XM_017967394	Callithrix jacchus	Euarchontoglires	Primates	Cebidae	Callithrix	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_019014911	XM_019014911	Gorilla gorilla	Euarchontoglires	Primates	Hominidae	Gorilla	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_019818982	XM_019818982	Felis catus	Laurasiatheria	Carnivora	Felidae	Felis	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_020156959	XM_020156959	Castor canadensis	Euarchontoglires	Rodentia	Castoridae	Castor	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_023760578	XM_023760578	Myotis lucifugus	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	IFNL	Mammal	2	-	3	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_024237432	XM_024237432	Pongo abelii	Euarchontoglires	Primates	Hominidae	Pongo	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_024351462	XM_024351462	Pan troglodytes	Euarchontoglires	Primates	Hominidae	Pan	IFNL	Mammal	2	-	1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_024577417	XM_024577417	Desmodus rotundus	Laurasiatheria	Chiroptera	Phyllostomidae	Desmodus	IFNL	Mammal	2	-	1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_024577418	XM_024577418	Desmodus rotundus	Laurasiatheria	Chiroptera	Phyllostomidae	Desmodus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_025268342	XM_025268342	Bubalus bubalis	Laurasiatheria	Unclassified	Bovidae	Bubalus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_025367960	XM_025367960	Theropithecus gelada	Euarchontoglires	Primates	Cercopithecidae	Theropithecus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_025368308	XM_025368308	Theropithecus gelada	Euarchontoglires	Primates	Cercopithecidae	Theropithecus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_029924289	XM_029924289	Suricata suricatta	Laurasiatheria	Carnivora	Herpestidae	Suricata	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_032326013	XM_032326013	Mustela erminea	Laurasiatheria	Carnivora	Mustelidae	Mustela	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_032850864	XM_032850864	Lontra canadensis	Laurasiatheria	Carnivora	Mustelidae	Lontra	IFNL	Mammal	2	-	2	-	-	-	-	-	-
