taxon	sequenceID	species	species_and_gene_id	species_superorder	species_order	species_family	species_genus	gene_id	glycosylation_o1_35	glycosylation_o2_42	glycosylation_o3_59	glycosylation_o4_72	glycosylation_o4_74	glycosylation_o4_76	glycosylation_o5_103	glycosylation_o6_111	glycosylation_o6_115	glycosylation_o6_116
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_003270381	XM_003270381	Nomascus leucogenys	XM_003270381/Nomascus leucogenys	Euarchontoglires	Primates	Hylobatidae	Nomascus	Placental2_Haplorhine-1.1	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_003420833	XM_003420833	Loxodonta africana	XM_003420833/Loxodonta africana	Afrotheria	Proboscidea	Elephantidae	Loxodonta	Placental2_Tethytheria-16	Loxodonta africana | -	Loxodonta africana | -	Loxodonta africana | -	Loxodonta africana | -	Loxodonta africana | -	Loxodonta africana | -	Loxodonta africana | -	Loxodonta africana | -	Loxodonta africana | -	Loxodonta africana | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004396492	XM_004396492	Odobenus rosmarus	XM_004396492/Odobenus rosmarus	Laurasiatheria	Carnivora	Odobenidae	Odobenus	Placental2_Carnivore-10	Odobenus rosmarus | -	Odobenus rosmarus | -	Odobenus rosmarus | -	Odobenus rosmarus | -	Odobenus rosmarus | -	Odobenus rosmarus | -	Odobenus rosmarus | -	Odobenus rosmarus | -	Odobenus rosmarus | -	Odobenus rosmarus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004617294	XM_004617294	Sorex araneus	XM_004617294/Sorex araneus	Laurasiatheria	Insectivora	Soricidae	Sorex	Placental2_Eulipotyphyla-9	Sorex araneus | -	Sorex araneus | -	Sorex araneus | -	Sorex araneus | -	Sorex araneus | -	Sorex araneus | -	Sorex araneus | -	Sorex araneus | -	Sorex araneus | -	Sorex araneus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004636880	XM_004636880	Octodon degus	XM_004636880/Octodon degus	Euarchontoglires	Rodentia	Octodontidae	Octodon	Placental2_Rodent-2.1	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004636881	XM_004636881	Octodon degus	XM_004636881/Octodon degus	Euarchontoglires	Rodentia	Octodontidae	Octodon	Placental2_Rodent-2.1	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004636884	XM_004636884	Octodon degus	XM_004636884/Octodon degus	Euarchontoglires	Rodentia	Octodontidae	Octodon	Placental2_Rodent-2.1	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -	Octodon degus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_005589166	XM_005589166	Macaca fascicularis	XM_005589166/Macaca fascicularis	Euarchontoglires	Primates	Cercopithecidae	Macaca	Placental2_Haplorhine-1.1	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_005589169	XM_005589169	Macaca fascicularis	XM_005589169/Macaca fascicularis	Euarchontoglires	Primates	Cercopithecidae	Macaca	Placental2_Haplorhine-1.1	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -	Macaca fascicularis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_005596230	XM_005596230	Equus caballus	XM_005596230/Equus caballus	Laurasiatheria	Perissodactyla	Equidae	Equus	Placental2_Perissodactyl-8	Equus caballus | -	Equus caballus | -	Equus caballus | -	Equus caballus | -	Equus caballus | -	Equus caballus | -	Equus caballus | -	Equus caballus | -	Equus caballus | -	Equus caballus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_005886334	XM_005886334	Myotis brandtii	XM_005886334/Myotis brandtii	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	Myotis brandtii | -	Myotis brandtii | -	Myotis brandtii | -	Myotis brandtii | -	Myotis brandtii | -	Myotis brandtii | -	Myotis brandtii | -	Myotis brandtii | -	Myotis brandtii | -	Myotis brandtii | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_006096748	XM_006096748	Myotis lucifugus	XM_006096748/Myotis lucifugus	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_006540121	XM_006540121	Mus musculus	XM_006540121/Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	NK_Rodent-2.1	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_006540130	XM_006540130	Mus musculus	XM_006540130/Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	Placental2_Rodent-2.2	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_007179988	XM_007179988	Balaenoptera acutorostrata	XM_007179988/Balaenoptera acutorostrata	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	Placental2_Cetartiodactyla-7	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_007179990	XM_007179990	Balaenoptera acutorostrata	XM_007179990/Balaenoptera acutorostrata	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	Placental2_Cetartiodactyla-7	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -	Balaenoptera acutorostrata | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_007523978	XM_007523978	Erinaceus europaeus	XM_007523978/Erinaceus europaeus	Laurasiatheria	Insectivora	Erinaceidae	Erinaceus	Placental2_Eulipotyphyla-9	Erinaceus europaeus | -	Erinaceus europaeus | -	Erinaceus europaeus | -	Erinaceus europaeus | -	Erinaceus europaeus | -	Erinaceus europaeus | -	Erinaceus europaeus | -	Erinaceus europaeus | -	Erinaceus europaeus | -	Erinaceus europaeus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_008057580	XM_008057580	Carlito syrichta	XM_008057580/Carlito syrichta	Euarchontoglires	Primates	Tarsiidae	Tarsius	Placental2_Carlito-3	Carlito syrichta | -	Carlito syrichta | -	Carlito syrichta | -	Carlito syrichta | -	Carlito syrichta | -	Carlito syrichta | -	Carlito syrichta | -	Carlito syrichta | -	Carlito syrichta | -	Carlito syrichta | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_008964649	XM_008964649	Pan paniscus	XM_008964649/Pan paniscus	Euarchontoglires	Primates	Hominidae	Pan	Placental2_Haplorhine-1.1	Pan paniscus | -	Pan paniscus | -	Pan paniscus | -	Pan paniscus | -	Pan paniscus | -	Pan paniscus | -	Pan paniscus | -	Pan paniscus | -	Pan paniscus | -	Pan paniscus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_010330964	XM_010330964	Saimiri boliviensis	XM_010330964/Saimiri boliviensis	Euarchontoglires	Primates	Cebidae	Saimiri	Placental2_Haplorhine-1.2	Saimiri boliviensis | -	Saimiri boliviensis | -	Saimiri boliviensis | -	Saimiri boliviensis | -	Saimiri boliviensis | -	Saimiri boliviensis | -	Saimiri boliviensis | -	Saimiri boliviensis | -	Saimiri boliviensis | -	Saimiri boliviensis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_010380920	XM_010380920	Rhinopithecus roxellana	XM_010380920/Rhinopithecus roxellana	Euarchontoglires	Primates	Cercopithecidae	Rhinopithecus	Placental2_Haplorhine-1.1	Rhinopithecus roxellana | -	Rhinopithecus roxellana | -	Rhinopithecus roxellana | -	Rhinopithecus roxellana | -	Rhinopithecus roxellana | -	Rhinopithecus roxellana | -	Rhinopithecus roxellana | -	Rhinopithecus roxellana | -	Rhinopithecus roxellana | -	Rhinopithecus roxellana | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_010972051	XM_010972051	Camelus bactrianus	XM_010972051/Camelus bactrianus	Laurasiatheria	Unclassified	Camelidae	Camelus	Placental2_Cetartiodactyla-7	Camelus bactrianus | -	Camelus bactrianus | -	Camelus bactrianus | -	Camelus bactrianus | -	Camelus bactrianus | -	Camelus bactrianus | -	Camelus bactrianus | -	Camelus bactrianus | -	Camelus bactrianus | -	Camelus bactrianus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_010985162	XM_010985162	Camelus dromedarius	XM_010985162/Camelus dromedarius	Laurasiatheria	Unclassified	Camelidae	Camelus	Placental2_Cetartiodactyla-7	Camelus dromedarius | -	Camelus dromedarius | -	Camelus dromedarius | -	Camelus dromedarius | -	Camelus dromedarius | -	Camelus dromedarius | -	Camelus dromedarius | -	Camelus dromedarius | -	Camelus dromedarius | -	Camelus dromedarius | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_011764820	XM_011764820	Macaca nemestrina	XM_011764820/Macaca nemestrina	Euarchontoglires	Primates	Cercopithecidae	Macaca	Placental2_Haplorhine-1.1	Macaca nemestrina | -	Macaca nemestrina | -	Macaca nemestrina | -	Macaca nemestrina | -	Macaca nemestrina | -	Macaca nemestrina | -	Macaca nemestrina | -	Macaca nemestrina | -	Macaca nemestrina | -	Macaca nemestrina | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_011952423	XM_011952423	Colobus angolensis	XM_011952423/Colobus angolensis	Euarchontoglires	Primates	Cercopithecidae	Colobus	Placental2_Haplorhine-1.1	Colobus angolensis | -	Colobus angolensis | -	Colobus angolensis | -	Colobus angolensis | -	Colobus angolensis | -	Colobus angolensis | -	Colobus angolensis | -	Colobus angolensis | -	Colobus angolensis | -	Colobus angolensis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_011973358	XM_011973358	Mandrillus leucophaeus	XM_011973358/Mandrillus leucophaeus	Euarchontoglires	Primates	Cercopithecidae	Mandrillus	Placental2_Haplorhine-1.1	Mandrillus leucophaeus | -	Mandrillus leucophaeus | -	Mandrillus leucophaeus | -	Mandrillus leucophaeus | -	Mandrillus leucophaeus | -	Mandrillus leucophaeus | -	Mandrillus leucophaeus | -	Mandrillus leucophaeus | -	Mandrillus leucophaeus | -	Mandrillus leucophaeus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012077999	XM_012077999	Cercocebus atys	XM_012077999/Cercocebus atys	Euarchontoglires	Primates	Cercopithecidae	Cercocebus	Placental2_Haplorhine-1.1	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012078033	XM_012078033	Cercocebus atys	XM_012078033/Cercocebus atys	Euarchontoglires	Primates	Cercopithecidae	Cercocebus	Placental2_Haplorhine-1.1	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -	Cercocebus atys | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012438872	XM_012438872	Aotus nancymaae	XM_012438872/Aotus nancymaae	Euarchontoglires	Primates	Aotidae	Aotus	Placental2_Haplorhine-1.2	Aotus nancymaae | -	Aotus nancymaae | -	Aotus nancymaae | -	Aotus nancymaae | -	Aotus nancymaae | -	Aotus nancymaae | -	Aotus nancymaae | -	Aotus nancymaae | -	Aotus nancymaae | -	Aotus nancymaae | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012657015	XM_012657015	Propithecus coquereli	XM_012657015/Propithecus coquereli	Euarchontoglires	Primates	Indriidae	Propithecus	Placental2_Strepsirhine-4	Propithecus coquereli | -	Propithecus coquereli | -	Propithecus coquereli | -	Propithecus coquereli | -	Propithecus coquereli | -	Propithecus coquereli | -	Propithecus coquereli | -	Propithecus coquereli | -	Propithecus coquereli | -	Propithecus coquereli | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012730587	XM_012730587	Condylura cristata	XM_012730587/Condylura cristata	Laurasiatheria	Insectivora	Talpidae	Condylura	Placental2_Eulipotyphyla-9	Condylura cristata | -	Condylura cristata | -	Condylura cristata | -	Condylura cristata | -	Condylura cristata | -	Condylura cristata | -	Condylura cristata | -	Condylura cristata | -	Condylura cristata | -	Condylura cristata | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012775211	XM_012775211	Microcebus murinus	XM_012775211/Microcebus murinus	Euarchontoglires	Primates	Cheirogaleidae	Microcebus	Placental1_Strepsirhine-4	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012775213	XM_012775213	Microcebus murinus	XM_012775213/Microcebus murinus	Euarchontoglires	Primates	Cheirogaleidae	Microcebus	Placental2_Strepsirhine-4	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -	Microcebus murinus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_013077381	XM_013077381	Heterocephalus glaber	XM_013077381/Heterocephalus glaber	Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus	Placental2_Rodent-2.1	Heterocephalus glaber | -	Heterocephalus glaber | -	Heterocephalus glaber | -	Heterocephalus glaber | -	Heterocephalus glaber | -	Heterocephalus glaber | -	Heterocephalus glaber | -	Heterocephalus glaber | -	Heterocephalus glaber | -	Heterocephalus glaber | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_015557658	XM_015557658	Myotis davidii	XM_015557658/Myotis davidii	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	Myotis davidii | -	Myotis davidii | -	Myotis davidii | -	Myotis davidii | -	Myotis davidii | -	Myotis davidii | -	Myotis davidii | -	Myotis davidii | -	Myotis davidii | -	Myotis davidii | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_016165226	XM_016165226	Rousettus aegyptiacus	XM_016165226/Rousettus aegyptiacus	Laurasiatheria	Chiroptera	Pteropodidae	Rousettus	Placental2_Chiroptera-6.1	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_016166771	XM_016166771	Rousettus aegyptiacus	XM_016166771/Rousettus aegyptiacus	Laurasiatheria	Chiroptera	Pteropodidae	Rousettus	Placental2_Chiroptera-6.1	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_016166772	XM_016166772	Rousettus aegyptiacus	XM_016166772/Rousettus aegyptiacus	Laurasiatheria	Chiroptera	Pteropodidae	Rousettus	Placental1_Chiroptera-6.2	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -	Rousettus aegyptiacus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_016209154	XM_016209154	Miniopterus natalensis	XM_016209154/Miniopterus natalensis	Laurasiatheria	Chiroptera	Vespertilionidae	Miniopterus	Placental2_Chiroptera-6.1	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_016209155	XM_016209155	Miniopterus natalensis	XM_016209155/Miniopterus natalensis	Laurasiatheria	Chiroptera	Vespertilionidae	Miniopterus	Placental2_Chiroptera-6.1	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_016209156	XM_016209156	Miniopterus natalensis	XM_016209156/Miniopterus natalensis	Laurasiatheria	Chiroptera	Vespertilionidae	Miniopterus	Placental2_Chiroptera-6.1	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -	Miniopterus natalensis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_016947939	XM_016947939	Pan troglodytes	XM_016947939/Pan troglodytes	Euarchontoglires	Primates	Hominidae	Pan	Placental2_Haplorhine-1.1	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_017503064	XM_017503064	Cebus imitator	XM_017503064/Cebus imitator	Euarchontoglires	Primates	Cebidae	Cebus	Placental2_Haplorhine-1.2	Cebus imitator | -	Cebus imitator | -	Cebus imitator | -	Cebus imitator | -	Cebus imitator | -	Cebus imitator | -	Cebus imitator | -	Cebus imitator | -	Cebus imitator | -	Cebus imitator | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_017803384	XM_017803384	Nannospalax galili	XM_017803384/Nannospalax galili	Euarchontoglires	Rodentia	Spalacidae	Nannospalax	Placental2_Rodent-2.2	Nannospalax galili | -	Nannospalax galili | -	Nannospalax galili | -	Nannospalax galili | -	Nannospalax galili | -	Nannospalax galili | -	Nannospalax galili | -	Nannospalax galili | -	Nannospalax galili | -	Nannospalax galili | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_017887367	XM_017887367	Rhinopithecus bieti	XM_017887367/Rhinopithecus bieti	Euarchontoglires	Primates	Cercopithecidae	Rhinopithecus	Placental2_Haplorhine-1.1	Rhinopithecus bieti | -	Rhinopithecus bieti | -	Rhinopithecus bieti | -	Rhinopithecus bieti | -	Rhinopithecus bieti | -	Rhinopithecus bieti | -	Rhinopithecus bieti | -	Rhinopithecus bieti | -	Rhinopithecus bieti | -	Rhinopithecus bieti | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_017967394	XM_017967394	Callithrix jacchus	XM_017967394/Callithrix jacchus	Euarchontoglires	Primates	Cebidae	Callithrix	Placental2_Haplorhine-1.2	Callithrix jacchus | -	Callithrix jacchus | -	Callithrix jacchus | -	Callithrix jacchus | -	Callithrix jacchus | -	Callithrix jacchus | -	Callithrix jacchus | -	Callithrix jacchus | -	Callithrix jacchus | -	Callithrix jacchus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_018063174	XM_018063174	Capra hircus	XM_018063174/Capra hircus	Laurasiatheria	Unclassified	Bovidae	Capra	Placental2_Cetartiodactyla-7	Capra hircus | -	Capra hircus | -	Capra hircus | -	Capra hircus | -	Capra hircus | -	Capra hircus | -	Capra hircus | -	Capra hircus | -	Capra hircus | -	Capra hircus | -
