taxon	sequenceID	species	species_and_gene_id	species_superorder	species_order	species_family	species_genus	gene_id	glycosylation_o1	glycosylation_o2	glycosylation_o3	glycosylation_o4	glycosylation_o5	glycosylation_o6
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/NM_177396	NM_177396	Mus musculus	NM_177396/Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	Placental2_Rodent-2.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_001086865	XM_001086865	Macaca mulatta	XM_001086865/Macaca mulatta	Euarchontoglires	Primates	Cercopithecidae	Macaca	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_002829197	XM_002829197	Pongo abelii	XM_002829197/Pongo abelii	Euarchontoglires	Primates	Hominidae	Pongo	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_002829198	XM_002829198	Pongo abelii	XM_002829198/Pongo abelii	Euarchontoglires	Primates	Hominidae	Pongo	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_002927388	XM_002927388	Ailuropoda melanoleuca	XM_002927388/Ailuropoda melanoleuca	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	Placental2_Carnivore-10	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_003270380	XM_003270380	Nomascus leucogenys	XM_003270380/Nomascus leucogenys	Euarchontoglires	Primates	Hylobatidae	Nomascus	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_003270381	XM_003270381	Nomascus leucogenys	XM_003270381/Nomascus leucogenys	Euarchontoglires	Primates	Hylobatidae	Nomascus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_003420833	XM_003420833	Loxodonta africana	XM_003420833/Loxodonta africana	Afrotheria	Proboscidea	Elephantidae	Loxodonta	Placental2_Tethytheria-16	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_003735566	XM_003735566	Callithrix jacchus	XM_003735566/Callithrix jacchus	Euarchontoglires	Primates	Cebidae	Callithrix	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_003802138	XM_003802138	Otolemur garnettii	XM_003802138/Otolemur garnettii	Euarchontoglires	Primates	Galagidae	Otolemur	Placental1_Strepsirhine-4	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_003802158	XM_003802158	Otolemur garnettii	XM_003802158/Otolemur garnettii	Euarchontoglires	Primates	Galagidae	Otolemur	Placental2_Strepsirhine-4	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_003915503	XM_003915503	Papio anubis	XM_003915503/Papio anubis	Euarchontoglires	Primates	Cercopithecidae	Papio	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_003943132	XM_003943132	Saimiri boliviensis	XM_003943132/Saimiri boliviensis	Euarchontoglires	Primates	Cebidae	Saimiri	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004060705	XM_004060705	Gorilla gorilla	XM_004060705/Gorilla gorilla	Euarchontoglires	Primates	Hominidae	Gorilla	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004388217	XM_004388217	Trichechus manatus	XM_004388217/Trichechus manatus	Afrotheria	Sirenia	Trichechidae	Trichechus	Placental1_Tethytheria-16	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004396492	XM_004396492	Odobenus rosmarus	XM_004396492/Odobenus rosmarus	Laurasiatheria	Carnivora	Odobenidae	Odobenus	Placental2_Carnivore-10	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004430284	XM_004430284	Ceratotherium simum	XM_004430284/Ceratotherium simum	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium	Placental1_RTG-14	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004481462	XM_004481462	Dasypus novemcinctus	XM_004481462/Dasypus novemcinctus	Xenarthra	Cingulata	Dasypodidae	Dasypus	Placental1_Xenarthra-15	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004617294	XM_004617294	Sorex araneus	XM_004617294/Sorex araneus	Laurasiatheria	Insectivora	Soricidae	Sorex	Placental2_Eulipotyphyla-9	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004636880	XM_004636880	Octodon degus	XM_004636880/Octodon degus	Euarchontoglires	Rodentia	Octodontidae	Octodon	Placental2_Rodent-2.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004636881	XM_004636881	Octodon degus	XM_004636881/Octodon degus	Euarchontoglires	Rodentia	Octodontidae	Octodon	Placental2_Rodent-2.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004636884	XM_004636884	Octodon degus	XM_004636884/Octodon degus	Euarchontoglires	Rodentia	Octodontidae	Octodon	Placental2_Rodent-2.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004687048	XM_004687048	Condylura cristata	XM_004687048/Condylura cristata	Laurasiatheria	Insectivora	Talpidae	Condylura	Placental1_RTG-14	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_004710310	XM_004710310	Echinops telfairi	XM_004710310/Echinops telfairi	Afrotheria	Unclassified	Tenrecidae	Echinops	Placental2_Afroinsectivoria-16	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_005589166	XM_005589166	Macaca fascicularis	XM_005589166/Macaca fascicularis	Euarchontoglires	Primates	Cercopithecidae	Macaca	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_005589169	XM_005589169	Macaca fascicularis	XM_005589169/Macaca fascicularis	Euarchontoglires	Primates	Cercopithecidae	Macaca	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_005589170	XM_005589170	Macaca fascicularis	XM_005589170/Macaca fascicularis	Euarchontoglires	Primates	Cercopithecidae	Macaca	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_005596230	XM_005596230	Equus caballus	XM_005596230/Equus caballus	Laurasiatheria	Perissodactyla	Equidae	Equus	Placental2_Perissodactyl-8	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_005886334	XM_005886334	Myotis brandtii	XM_005886334/Myotis brandtii	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_006096748	XM_006096748	Myotis lucifugus	XM_006096748/Myotis lucifugus	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_006140390	XM_006140390	Tupaia chinensis	XM_006140390/Tupaia chinensis	Euarchontoglires	Scandentia	Tupaiidae	Tupaia	Placental2_Scandentia-ND1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_006540121	XM_006540121	Mus musculus	XM_006540121/Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	NK_Rodent-2.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_006540130	XM_006540130	Mus musculus	XM_006540130/Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	Placental2_Rodent-2.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_006871441	XM_006871441	Chrysochloris asiatica	XM_006871441/Chrysochloris asiatica	Afrotheria	Unclassified	Chrysochloridae	Chrysochloris	Placental1_Afroinsectivoria-16	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_006941288	XM_006941288	Felis catus	XM_006941288/Felis catus	Laurasiatheria	Carnivora	Felidae	Felis	Placental1_Carnivore-11	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_007179988	XM_007179988	Balaenoptera acutorostrata	XM_007179988/Balaenoptera acutorostrata	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	Placental2_Cetartiodactyla-7	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_007179990	XM_007179990	Balaenoptera acutorostrata	XM_007179990/Balaenoptera acutorostrata	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	Placental2_Cetartiodactyla-7	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_007523978	XM_007523978	Erinaceus europaeus	XM_007523978/Erinaceus europaeus	Laurasiatheria	Insectivora	Erinaceidae	Erinaceus	Placental2_Eulipotyphyla-9	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_007524026	XM_007524026	Erinaceus europaeus	XM_007524026/Erinaceus europaeus	Laurasiatheria	Insectivora	Erinaceidae	Erinaceus	Placental1_Eulipotyphyla-ND2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_007945560	XM_007945560	Orycteropus afer	XM_007945560/Orycteropus afer	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	Placental1_Tubulidentata-16	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_007958477	XM_007958477	Orycteropus afer	XM_007958477/Orycteropus afer	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	Placental1_Tubulidentata-16	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_007996760	XM_007996760	Chlorocebus sabaeus	XM_007996760/Chlorocebus sabaeus	Euarchontoglires	Primates	Cercopithecidae	Chlorocebus	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_008057580	XM_008057580	Carlito syrichta	XM_008057580/Carlito syrichta	Euarchontoglires	Primates	Tarsiidae	Tarsius	Placental2_Carlito-3	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_008057587	XM_008057587	Carlito syrichta	XM_008057587/Carlito syrichta	Euarchontoglires	Primates	Tarsiidae	Tarsius	Placental1_Carlito-3	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_008582050	XM_008582050	Galeopterus variegatus	XM_008582050/Galeopterus variegatus	Euarchontoglires	Dermoptera	Cynocephalidae	Galeopterus	Placental1_Dermoptera-5	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_008854037	XM_008854037	Nannospalax galili	XM_008854037/Nannospalax galili	Euarchontoglires	Rodentia	Spalacidae	Nannospalax	Placental1_Rodent-2.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_008964649	XM_008964649	Pan paniscus	XM_008964649/Pan paniscus	Euarchontoglires	Primates	Hominidae	Pan	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_010330964	XM_010330964	Saimiri boliviensis	XM_010330964/Saimiri boliviensis	Euarchontoglires	Primates	Cebidae	Saimiri	Placental2_Haplorhine-1.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_010380919	XM_010380919	Rhinopithecus roxellana	XM_010380919/Rhinopithecus roxellana	Euarchontoglires	Primates	Cercopithecidae	Rhinopithecus	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_010380920	XM_010380920	Rhinopithecus roxellana	XM_010380920/Rhinopithecus roxellana	Euarchontoglires	Primates	Cercopithecidae	Rhinopithecus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_010972051	XM_010972051	Camelus bactrianus	XM_010972051/Camelus bactrianus	Laurasiatheria	Unclassified	Camelidae	Camelus	Placental2_Cetartiodactyla-7	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_010985162	XM_010985162	Camelus dromedarius	XM_010985162/Camelus dromedarius	Laurasiatheria	Unclassified	Camelidae	Camelus	Placental2_Cetartiodactyla-7	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_011225064	XM_011225064	Ailuropoda melanoleuca	XM_011225064/Ailuropoda melanoleuca	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	Placental1_RTG-14	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_011234942	XM_011234942	Ailuropoda melanoleuca	XM_011234942/Ailuropoda melanoleuca	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	Placental1_Carnivore-11	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_011764819	XM_011764819	Macaca nemestrina	XM_011764819/Macaca nemestrina	Euarchontoglires	Primates	Cercopithecidae	Macaca	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_011764820	XM_011764820	Macaca nemestrina	XM_011764820/Macaca nemestrina	Euarchontoglires	Primates	Cercopithecidae	Macaca	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_011952423	XM_011952423	Colobus angolensis	XM_011952423/Colobus angolensis	Euarchontoglires	Primates	Cercopithecidae	Colobus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_011952424	XM_011952424	Colobus angolensis palliatus	XM_011952424/Colobus angolensis palliatus	Euarchontoglires	Primates	Cercopithecidae	Colobus	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_011973358	XM_011973358	Mandrillus leucophaeus	XM_011973358/Mandrillus leucophaeus	Euarchontoglires	Primates	Cercopithecidae	Mandrillus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_011973361	XM_011973361	Mandrillus leucophaeus	XM_011973361/Mandrillus leucophaeus	Euarchontoglires	Primates	Cercopithecidae	Mandrillus	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012077988	XM_012077988	Cercocebus atys	XM_012077988/Cercocebus atys	Euarchontoglires	Primates	Cercopithecidae	Cercocebus	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012077999	XM_012077999	Cercocebus atys	XM_012077999/Cercocebus atys	Euarchontoglires	Primates	Cercopithecidae	Cercocebus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012078033	XM_012078033	Cercocebus atys	XM_012078033/Cercocebus atys	Euarchontoglires	Primates	Cercopithecidae	Cercocebus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012438845	XM_012438845	Aotus nancymaae	XM_012438845/Aotus nancymaae	Euarchontoglires	Primates	Aotidae	Aotus	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012438872	XM_012438872	Aotus nancymaae	XM_012438872/Aotus nancymaae	Euarchontoglires	Primates	Aotidae	Aotus	Placental2_Haplorhine-1.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012657015	XM_012657015	Propithecus coquereli	XM_012657015/Propithecus coquereli	Euarchontoglires	Primates	Indriidae	Propithecus	Placental2_Strepsirhine-4	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012730587	XM_012730587	Condylura cristata	XM_012730587/Condylura cristata	Laurasiatheria	Insectivora	Talpidae	Condylura	Placental2_Eulipotyphyla-9	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012775211	XM_012775211	Microcebus murinus	XM_012775211/Microcebus murinus	Euarchontoglires	Primates	Cheirogaleidae	Microcebus	Placental1_Strepsirhine-4	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_012775213	XM_012775213	Microcebus murinus	XM_012775213/Microcebus murinus	Euarchontoglires	Primates	Cheirogaleidae	Microcebus	Placental2_Strepsirhine-4	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_013077381	XM_013077381	Heterocephalus glaber	XM_013077381/Heterocephalus glaber	Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus	Placental2_Rodent-2.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_014117025	XM_014117025	Canis lupus	XM_014117025/Canis lupus	Laurasiatheria	Carnivora	Canidae	Canis	Placental1_Carnivore-11	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_014732932	XM_014732932	Equus caballus	XM_014732932/Equus caballus	Laurasiatheria	Perissodactyla	Equidae	Equus	Placental1_Perissodactyl-13	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_014832969	XM_014832969	Equus asinus	XM_014832969/Equus asinus	Laurasiatheria	Perissodactyla	Equidae	Equus	Placental1_RTG-14	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_015557658	XM_015557658	Myotis davidii	XM_015557658/Myotis davidii	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_016165226	XM_016165226	Rousettus aegyptiacus	XM_016165226/Rousettus aegyptiacus	Laurasiatheria	Chiroptera	Pteropodidae	Rousettus	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_016166771	XM_016166771	Rousettus aegyptiacus	XM_016166771/Rousettus aegyptiacus	Laurasiatheria	Chiroptera	Pteropodidae	Rousettus	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_016166772	XM_016166772	Rousettus aegyptiacus	XM_016166772/Rousettus aegyptiacus	Laurasiatheria	Chiroptera	Pteropodidae	Rousettus	Placental1_Chiroptera-6.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_016209154	XM_016209154	Miniopterus natalensis	XM_016209154/Miniopterus natalensis	Laurasiatheria	Chiroptera	Vespertilionidae	Miniopterus	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_016209155	XM_016209155	Miniopterus natalensis	XM_016209155/Miniopterus natalensis	Laurasiatheria	Chiroptera	Vespertilionidae	Miniopterus	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_016209156	XM_016209156	Miniopterus natalensis	XM_016209156/Miniopterus natalensis	Laurasiatheria	Chiroptera	Vespertilionidae	Miniopterus	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_016947939	XM_016947939	Pan troglodytes	XM_016947939/Pan troglodytes	Euarchontoglires	Primates	Hominidae	Pan	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_017503063	XM_017503063	Cebus capucinus	XM_017503063/Cebus capucinus	Euarchontoglires	Primates	Cebidae	Cebus	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_017503064	XM_017503064	Cebus imitator	XM_017503064/Cebus imitator	Euarchontoglires	Primates	Cebidae	Cebus	Placental2_Haplorhine-1.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_017651898	XM_017651898	Manis javanica	XM_017651898/Manis javanica	Laurasiatheria	Pholidota	Manidae	Manis	Placental1_RTG-14	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_017656413	XM_017656413	Manis javanica	XM_017656413/Manis javanica	Laurasiatheria	Pholidota	Manidae	Manis	Placental1_Manis-12	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_017803384	XM_017803384	Nannospalax galili	XM_017803384/Nannospalax galili	Euarchontoglires	Rodentia	Spalacidae	Nannospalax	Placental2_Rodent-2.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_017887367	XM_017887367	Rhinopithecus bieti	XM_017887367/Rhinopithecus bieti	Euarchontoglires	Primates	Cercopithecidae	Rhinopithecus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_017967394	XM_017967394	Callithrix jacchus	XM_017967394/Callithrix jacchus	Euarchontoglires	Primates	Cebidae	Callithrix	Placental2_Haplorhine-1.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_018063174	XM_018063174	Capra hircus	XM_018063174/Capra hircus	Laurasiatheria	Unclassified	Bovidae	Capra	Placental2_Cetartiodactyla-7	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_018063271	XM_018063271	Capra hircus	XM_018063271/Capra hircus	Laurasiatheria	Unclassified	Bovidae	Capra	Placental2_Cetartiodactyla-7	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_019014911	XM_019014911	Gorilla gorilla gorilla	XM_019014911/Gorilla gorilla gorilla	Euarchontoglires	Primates	Hominidae	Gorilla	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_020156959	XM_020156959	Castor canadensis	XM_020156959/Castor canadensis	Euarchontoglires	Rodentia	Castoridae	Castor	Placental2_Rodent-2.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_021168771	XM_021168771	Mus caroli	XM_021168771/Mus caroli	Euarchontoglires	Rodentia	Muridae	Mus	Placental2_Rodent-2.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_021210483	XM_021210483	Mus pahari	XM_021210483/Mus pahari	Euarchontoglires	Rodentia	Muridae	Mus	Placental1_Rodent-2.2	-	-	-	-	-	-
