taxon	sequenceID	species	species_superorder	species_order	species_family	species_genus	gene_id	vertebrate_lineage	major_subclade	duplicate_type	duplicate_numeric_id	glycosylation_o1_present	glycosylation_o1_coverage	glycosylation_o2_present	glycosylation_o2_coverage
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_006986319	XM_006986319	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_007179988	XM_007179988	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_007179990	XM_007179990	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_007523978	XM_007523978	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_007524026	XM_007524026	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-refseqs/XM_007945560	XM_007945560	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_007958477	XM_007958477	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_008057580	XM_008057580	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_008057587	XM_008057587	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_008161658	XM_008161658	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_008854037	XM_008854037	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_010972051	XM_010972051	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_010985162	XM_010985162	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_011225064	XM_011225064	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_011234942	XM_011234942	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_011386751	XM_011386751	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_011952424	XM_011952424	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_011973358	XM_011973358	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_012730587	XM_012730587	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_013077381	XM_013077381	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_014117025	XM_014117025	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_014541703	XM_014541703	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_014587715	XM_014587715	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_014732932	XM_014732932	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_014832969	XM_014832969	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_015123826	XM_015123826	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_015557658	XM_015557658	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_015589198	XM_015589198	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_015589199	XM_015589199	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_016165226	XM_016165226	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_016166771	XM_016166771	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_016166772	XM_016166772	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_016209154	XM_016209154	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_016209155	XM_016209155	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_016209156	XM_016209156	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_016209157	XM_016209157	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_016934446	XM_016934446	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_016947939	XM_016947939	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_017503063	XM_017503063	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_017651898	XM_017651898	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_017656413	XM_017656413	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_017803384	XM_017803384	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_017967394	XM_017967394	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_018063174	XM_018063174	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_018063271	XM_018063271	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_019818982	XM_019818982	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_020156959	XM_020156959	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_021168771	XM_021168771	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_021210483	XM_021210483	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_023626728	XM_023626728	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_023651251	XM_023651251	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_023760578	XM_023760578	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_024351462	XM_024351462	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_024577416	XM_024577416	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_024577417	XM_024577417	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_024577418	XM_024577418	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_025268342	XM_025268342	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_028165960	XM_028165960	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_028529967	XM_028529967	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_028529971	XM_028529971	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_028529976	XM_028529976	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_028529978	XM_028529978	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_028529999	XM_028529999	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_028530311	XM_028530311	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_028859190	XM_028859190	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_029924289	XM_029924289	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_030796492	XM_030796492	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_032273584	XM_032273584	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_032326013	XM_032326013	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_032850864	XM_032850864	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_033226159	XM_033226159	-	-	-	-	-	-	-	-	-	-	-	-	-	-
