taxon	sequenceID	species	species_superorder	species_order	species_family	species_genus	gene_id	vertebrate_lineage	major_subclade	duplicate_type	duplicate_numeric_id	glycosylation_o1_present	glycosylation_o1_coverage	glycosylation_o2_present	glycosylation_o2_coverage
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_007180046	XM_007180046	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_007180047	XM_007180047	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_007524024	XM_007524024	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_007524025	XM_007524025	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_007660152	XM_007660152	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_007955548	XM_007955548	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_007996757	XM_007996757	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_008140039	XM_008140039	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_008257170	XM_008257170	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_010600326	XM_010600326	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_010600327	XM_010600327	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_010600391	XM_010600391	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_011234954	XM_011234954	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_012533543	XM_012533543	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_013522287	XM_013522287	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_013990503	XM_013990503	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_014541702	XM_014541702	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_015123824	XM_015123824	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_016165225	XM_016165225	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_016209132	XM_016209132	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_017503065	XM_017503065	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_017503067	XM_017503067	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_019015012	XM_019015012	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_019431940	XM_019431940	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_019431989	XM_019431989	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_019431990	XM_019431990	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_019666267	XM_019666267	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_019666268	XM_019666268	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_020156960	XM_020156960	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_021239619	XM_021239619	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_021239678	XM_021239678	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_021700959	XM_021700959	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_021700961	XM_021700961	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_021931090	XM_021931090	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_022525015	XM_022525015	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_023760558	XM_023760558	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_024577451	XM_024577451	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_025268277	XM_025268277	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_026491561	XM_026491561	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_027765624	XM_027765624	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_027855301	XM_027855301	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_028165945	XM_028165945	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated/XM_028839087	XM_028839087	-	-	-	-	-	-	-	-	-	-	-	-	-	-
