taxon	sequenceID	organism	gene_id	vertebrate_lineage	major_subclade	duplicate_type	duplicate_numeric_id	duplicate_numeric_id	combined
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_011234954	XM_011234954	Ailuropoda melanoleuca	IFNL	Mammal	-	-	-	-	XM_011234954/Ailuropoda melanoleuca/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_012496610	XM_012496610	Nomascus leucogenys	IFNL	Mammal	-	-	-	-	XM_012496610/Nomascus leucogenys/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_012533543	XM_012533543	Orcinus orca	IFNL	Mammal	-	-	-	-	XM_012533543/Orcinus orca/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_013522287	XM_013522287	Chinchilla lanigera	IFNL	Mammal	-	-	-	-	XM_013522287/Chinchilla lanigera/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_013990503	XM_013990503	Sus scrofa	IFNL	Mammal	-	-	-	-	XM_013990503/Sus scrofa/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_015123824	XM_015123824	Macaca mulatta	IFNL	Mammal	-	-	-	-	XM_015123824/Macaca mulatta/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_016165225	XM_016165225	Rousettus aegyptiacus	IFNL	Mammal	-	-	-	-	XM_016165225/Rousettus aegyptiacus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_017503065	XM_017503065	Cebus capucinus	IFNL	Mammal	-	-	-	-	XM_017503065/Cebus capucinus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_019014912	XM_019014912	Gorilla gorilla	IFNL	Mammal	-	-	-	-	XM_019014912/Gorilla gorilla/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_019431940	XM_019431940	Panthera pardus	IFNL	Mammal	-	-	-	-	XM_019431940/Panthera pardus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_019431989	XM_019431989	Panthera pardus	IFNL	Mammal	-	-	-	-	XM_019431989/Panthera pardus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_019666268	XM_019666268	Hipposideros armiger	IFNL	Mammal	-	-	-	-	XM_019666268/Hipposideros armiger/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_020156960	XM_020156960	Castor canadensis	IFNL	Mammal	-	-	-	-	XM_020156960/Castor canadensis/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_021239619	XM_021239619	Heterocephalus glaber	IFNL	Mammal	-	-	-	-	XM_021239619/Heterocephalus glaber/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_021239678	XM_021239678	Heterocephalus glaber	IFNL	Mammal	-	-	-	-	XM_021239678/Heterocephalus glaber/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_021700959	XM_021700959	Neomonachus schauinslandi	IFNL	Mammal	-	-	-	-	XM_021700959/Neomonachus schauinslandi/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_023760558	XM_023760558	Myotis lucifugus	IFNL	Mammal	-	-	-	-	XM_023760558/Myotis lucifugus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_025268277	XM_025268277	Bubalus bubalis	IFNL	Mammal	-	-	-	-	XM_025268277/Bubalus bubalis/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_027765624	XM_027765624	Tupaia chinensis	IFNL	Mammal	-	-	-	-	XM_027765624/Tupaia chinensis/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_027855301	XM_027855301	Vombatus ursinus	IFNL	Mammal	-	-	-	-	XM_027855301/Vombatus ursinus/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_028165945	XM_028165945	Balaenoptera acutorostrata scammoni	IFNL	Mammal	-	-	-	-	XM_028165945/Balaenoptera acutorostrata scammoni/IFNL/Mammal/-/-/}
alignment/AL_IFNLa_MAMMAL/member/ncbi-refseqs/XM_028839087	XM_028839087	Macaca mulatta	IFNL	Mammal	-	-	-	-	XM_028839087/Macaca mulatta/IFNL/Mammal/-/-/}
