id	GeneID	Clade	Species	full_name	Class	Superorder	Order	Family	Genus	Protein_accession	Ref
NM_001142837	MAMM1_rtg	Laurasiatheria-rtg	Sus scrofa	Placental-1-Laurasiatheria-rtg	Mammalia	Laurasiatheria	Unclassified	Suidae	Sus	NP_001136309.1	
XM_002927388	MAMM2	Carnivora	Ailuropoda melanoleuca	Placental-2-Carnivora	Mammalia	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	XP_002927434.1	xL
XM_007179988	MAMM2	Cetacea	Balaenoptera acutorostrata	Placental-2-Cetacea	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	XP_007180050.1 	
XM_016165227	MAMM2	Chiroptera	Rousettus aegyptiacus	Placental-2-Chiroptera	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Rousettus	XP_016020713.1	
XM_023760577	MAMM2	Chiroptera	Myotis lucifugus	Placental-2-Chiroptera	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	XP_023616345.1	
XM_007523978	MAMM2	Insectivora	Erinaceus europaeus	Placental-2-Insectivora	Mammalia	Laurasiatheria	Insectivora	Erinaceidae	Erinaceus	XP_007524040.1	
XM_005596230	MAMM2	Laurasiatheria	Equus caballus	Placental-2-Laurasiatheria	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	XP_005596287.2	
XM_017967394	MAMM2	Cebidae	Callithrix jacchus	Placental-2-Cebidae	Mammalia	Euarchontoglires	Primates	Cebidae	Callithrix	XP_017822883.1	
XM_017503063	MAMM2	Cebidae	Cebus capucinus	Placental-2-Cebidae	Mammalia	Euarchontoglires	Primates	Cebidae	Cebus	XM_017503063	
XM_001086865	MAMM2	Cercopithecidae	Macaca mulatta	Placental-2-Cercopithecidae	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Macaca	XP_001086865.3	
XM_003802158	MAMM2	Galagidae	Otolemur garnettii	Placental-2-Galagidae	Mammalia	Euarchontoglires	Primates	Galagidae	Otolemur	XP_003802206.1	
NC_000019	MAMM2	Hominini-1	Homo sapiens	Placental-2-Hominini-1	Mammalia	Euarchontoglires	Primates	Hominidae	Homo	NC_000019.1	
NM_001346937	MAMM2	Hominini-2	Homo sapiens	Placental-2-Hominini-2	Mammalia	Euarchontoglires	Primates	Hominidae	Homo	NM_001346937.1	xE
XM_008057580	MAMM2	Tarsiidae	Carlito syrichta	Placental-2-Tarsiidae	Mammalia	Euarchontoglires	Primates	Tarsiidae	Tarsius	XP_008055771.1	
XM_003420833	MAMM2	Elephantidae	Loxodonta africana	Placental-2-Elephantidae	Mammalia	Afrotheria	Proboscidea	Elephantidae	Loxodonta	XP_003420881.2	xA
XM_013077381	MAMM2	Rodentia	Heterocephalus glaber	Placental-2-Rodentia	Mammalia	Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus	XP_012932835.1	
XM_020156959	MAMM2	Rodentia	Castor canadensis	Placental-2-Rodentia	Mammalia	Euarchontoglires	Rodentia	Castoridae	Castor	XP_020012548.1	
XM_006986319	MAMM2	Rodentia	Peromyscus maniculatus 	Placental-2-Rodentia	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Peromyscus	XP_006986381.1 	
XM_004636884	MAMM2	Rodentia	Octodon degus	Placental-2-Rodentia	Mammalia	Euarchontoglires	Rodentia	Octodontidae	Octodon	XP_004636941.1	
XM_017803384	MAMM2	Rodentia	Nannospalax galili	Placental-2-Rodentia	Mammalia	Euarchontoglires	Rodentia	Spalacidae	Nannospalax	XP_017658873.1 	
XM_006140390	MAMM2	Scandentia	Tupaia chinensis	Placental-2-Scandentia	Mammalia	Euarchontoglires	Scandentia	Tupaiidae	Tupaia	XP_006140452.1	
XM_025268342	MAMM2	Artiodactyl	Bubalus bubalis	Placental-2-Artiodactyl	Mammalia	Laurasiatheria	Unclassified	Bovidae	Bubalus	XP_025124127.1 	
XM_010985162	MAMM2	Artiodactyl	Camelus dromedarius	Placental-2-Artiodactyl	Mammalia	Laurasiatheria	Unclassified	Camelidae	Camelus	XP_010983464.1 	
XM_021097830	MAMM2	Artiodactyl	Sus scrofa	Placental-2-Artiodactyl	Mammalia	Laurasiatheria	Unclassified	Suidae	Sus	XP_020953489.1	
XM_011234954	MAMM4		Ailuropoda melanoleuca	Carnivora	Mammalia	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	XP_011233256.1	xL
XM_019431989 	MAMM4		Panthera pardus 	Carnivora	Mammalia	Laurasiatheria	Carnivora	Felidae	Panthera		
XM_019431940 	MAMM4		Panthera pardus 	Carnivora	Mammalia	Laurasiatheria	Carnivora	Felidae	Panthera		
XM_004396490 	MAMM4		Odobenus rosmarus divergens	Carnivora	Mammalia	Laurasiatheria	Carnivora	Odobenidae	Odobenus		
XM_021700959 	MAMM4		Neomonachus schauinslandi	Carnivora	Mammalia	Laurasiatheria	Carnivora	Phocidae	Monachus		
XM_012533543	MAMM4		Orcinus orca	Cetacea	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Orcinus	XP_012388997.1	
XM_028165945 	MAMM4		Balaenoptera acutorostrata scammoni 	Cetacea	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera		
XM_007180047 	MAMM4		Balaenoptera acutorostrata scammoni 	Cetacea	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera		
XM_007180046	MAMM4		Balaenoptera acutorostrata scammoni 	Cetacea	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera		
XM_016165225	MAMM4		Rousettus aegyptiacus	Chiroptera	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Rousettus	XP_016020711.1 	
XM_023760558	MAMM4		Myotis lucifugus	Chiroptera	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	XP_023616326.1	
XM_019666268 	MAMM4		Hipposideros armiger	Chiroptera	Mammalia	Laurasiatheria	Chiroptera	Hipposideridae	Hipposideros		
XM_027855301	MAMM4		Vombatus ursinus	Diprotodontia	Mammalia	Unclassified	Diprotodontia	Vombatidae	Vombatus	XM_027855301	xMa
XM_007524025	MAMM4		Erinaceus europaeus	Insectivora	Mammalia	Laurasiatheria	Insectivora	Erinaceidae	Erinaceus	XP_007524087.1 	
XM_004617296	MAMM4		Sorex araneus	Insectivora	Mammalia	Laurasiatheria	Insectivora	Soricidae	Sorex		
XM_008257170	MAMM4		Oryctolagus cuniculus	Lagomorpha	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Oryctolagus	XP_008255392.1 	
XM_007660152	MAMM4		Ornithorhynchus anatinus	Monotremata	Mammalia	Unclassified	Monotremata	Ornithorhynchidae	Ornithorhynchus	XP_007658342.2	xMo
XM_008987976	MAMM4		Callithrix jacchus	Primates	Mammalia	Euarchontoglires	Primates	Cebidae	Callithrix	XP_008986224.1	
XM_015123824	MAMM4		Macaca mulatta	Primates	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Macaca	XP_014979310.2	
NM_001276254	MAMM4		Homo sapiens	Primates	Mammalia	Euarchontoglires	Primates	Hominidae	Homo	NM_001276254.2	xE
XM_017503065 	MAMM4		Cebus capucinus	Primates	Mammalia	Euarchontoglires	Primates	Cebidae	Cebus		
XM_028839087 	MAMM4		Macaca mulatta 	Primates	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Macaca		
XM_019014912	MAMM4		Gorilla gorilla	Primates	Mammalia	Euarchontoglires	Primates	Hominidae	Gorilla		
XM_008964691	MAMM4		Pan paniscus	Primates	Mammalia	Euarchontoglires	Primates	Hominidae	Pan		
XM_008964650 	MAMM4		Pan paniscus	Primates	Mammalia	Euarchontoglires	Primates	Hominidae	Pan		
XM_012496610 	MAMM4		Nomascus leucogenys	Primates	Mammalia	Euarchontoglires	Primates	Hylobatidae	Nomascus		
IFNLA_Psi_Hsa	MAMM4	Primate_psi	Homo sapiens	Primates	Mammalia	Euarchontoglires	Primates	Hominidae	Homo	NULL	
XM_010600326	MAMM4		Loxodonta africana	Proboscidea	Mammalia	Afrotheria	Proboscidea	Elephantidae	Loxodonta	XP_010598628.1 	xA
XM_021239619	MAMM4		Heterocephalus glaber	Rodentia	Mammalia	Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus	XP_021095278.1	
XM_020156960	MAMM4		Castor canadensis	Rodentia	Mammalia	Euarchontoglires	Rodentia	Castoridae	Castor	XP_020012549.1	
XM_004636883	MAMM4		Octodon degus	Rodentia	Mammalia	Euarchontoglires	Rodentia	Octodontidae	Octodon	XP_004636940.1	
XM_021239678	MAMM4		Heterocephalus glaber	Rodentia	Mammalia	Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus		
XM_021239619	MAMM4		Heterocephalus glaber	Rodentia	Mammalia	Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus		
XM_020156960 	MAMM4		Castor canadensis	Rodentia	Mammalia	Euarchontoglires	Rodentia	Castoridae	Castor		
XM_013522287	MAMM4		Chinchilla lanigera	Rodentia	Mammalia	Euarchontoglires	Rodentia	Chinchillidae	Chinchilla		
XM_005336481	MAMM4		Ictidomys tridecemlineatus	Rodentia	Mammalia	Euarchontoglires	Rodentia	Sciuridae	Ictidomys		
XM_004636883 	MAMM4		Octodon degus	Rodentia	Mammalia	Euarchontoglires	Rodentia	Octodontidae	Octodon		
XM_027765624	MAMM4		Tupaia chinensis	Scandentia	Mammalia	Euarchontoglires	Scandentia	Tupaiidae	Tupaia	XP_027621425.1	
XM_027765624	MAMM4		Tree shrew	Scandentia	Mammalia	Euarchontoglires	Scandentia	Tupaiidae	Tupaia		
XM_025268277	MAMM4		Bubalus bubalis	Unclassified	Mammalia	Laurasiatheria	Unclassified	Bovidae	Bubalus	XP_025124062.1	
XM_013990503	MAMM4		Sus scrofa	Unclassified	Mammalia	Laurasiatheria	Unclassified	Suidae	Sus	XP_013845957.1 	
XM_005219127 	MAMM4		Bos taurus	Unclassified	Mammalia	Laurasiatheria	Unclassified	Bovidae	Bos		
XM_027855300	MARSUPIAL	Diprotodontia	Vombatus ursinus	Diprotodontia	Mammalia	Marsupials	Diprotodontia	Vombatidae	Vombatus	XP_027711101.1	xMa
XM_001517881	MONOTREME	Monotremata	Ornithorhynchus anatinus	Monotremata	Mammalia	Marsupials	Monotremata	Ornithorhynchidae	Ornithorhynchus	XP_001517931.2	xMo
