id	name	species	gene_id	vertebrate_lineage	clade	Superorder	Species_order	Family	Genus	protein_accession	ref	reference_id
XM_004595181	IFNL-A-Mammal	Ochotona princeps	IFNL	Mammal	A	Euarchontoglires	Lagomorpha	Ochotonidae	Ochotona			
XM_004636883	IFNL-A-Mammal	Octodon degus	IFNL	Mammal	A	Euarchontoglires	Rodentia	Octodontidae	Octodon	XP_004636940.1		
XM_004636883 	IFNL-A-Mammal	Octodon degus	IFNL	Mammal	A	Euarchontoglires	Rodentia	Octodontidae	Octodon			
XM_004396491	IFNL-A-Mammal	Odobenus rosmarus	IFNL	Mammal	A	Laurasiatheria	Carnivora	Odobenidae	Odobenus			
XM_004396490	IFNL-A-Mammal	Odobenus rosmarus divergens	IFNL	Mammal	A	Laurasiatheria	Carnivora	Odobenidae	Odobenus			
XM_012533543	IFNL-A-Mammal	Orcinus orca	IFNL	Mammal	A	Laurasiatheria	Cetacea	Delphinidae	Orcinus	XP_012388997.1		
XM_007660152	IFNL-A-Mammal	Ornithorhynchus anatinus	IFNL	Mammal	A	Unclassified	Monotremata	Ornithorhynchidae	Ornithorhynchus	XP_007658342.2	xMo	
XM_007955548	IFNL-A-Mammal	Orycteropus afer afer	IFNL	Mammal	A	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus			-
XM_008257170	IFNL-A-Mammal	Oryctolagus cuniculus	IFNL	Mammal	A	Euarchontoglires	Lagomorpha	Leporidae	Oryctolagus	XP_008255392.1 		
XM_008964691	IFNL-A-Mammal	Pan paniscus	IFNL	Mammal	A	Euarchontoglires	Primates	Hominidae	Pan			
XM_008964650	IFNL-A-Mammal	Pan paniscus	IFNL	Mammal	A	Euarchontoglires	Primates	Hominidae	Pan			
NM_001276259	IFNL-A-Mammal	Pan troglodytes	IFNL	Mammal	A	Euarchontoglires	Primates	Hominidae	Pan			-
XM_019431989	IFNL-A-Mammal	Panthera pardus	IFNL	Mammal	A	Laurasiatheria	Carnivora	Felidae	Panthera			
XM_019431940	IFNL-A-Mammal	Panthera pardus	IFNL	Mammal	A	Laurasiatheria	Carnivora	Felidae	Panthera			
XM_019431990	IFNL-A-Mammal	Panthera pardus	IFNL	Mammal	A	Laurasiatheria	Carnivora	Felidae	Panthera			-
XM_021931090	IFNL-A-Mammal	Papio anubis	IFNL	Mammal	A	Euarchontoglires	Primates	Cercopithecidae	Papio			-
XM_006911731	IFNL-A-Mammal	Pteropus alecto	IFNL	Mammal	A	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus			-
XM_016165225	IFNL-A-Mammal	Rousettus aegyptiacus	IFNL	Mammal	A	Laurasiatheria	Chiroptera	Pteropodidae	Rousettus	XP_016020711.1 		
XM_004617296	IFNL-A-Mammal	Sorex araneus	IFNL	Mammal	A	Laurasiatheria	Insectivora	Soricidae	Sorex			
XM_013990503	IFNL-A-Mammal	Sus scrofa	IFNL	Mammal	A	Laurasiatheria	Unclassified	Suidae	Sus	XP_013845957.1 		
XM_027765624	IFNL-A-Mammal	Tree shrew	IFNL	Mammal	A	Euarchontoglires	Scandentia	Tupaiidae	Tupaia			
XM_027765624	IFNL-A-Mammal	Tupaia chinensis	IFNL	Mammal	A	Euarchontoglires	Scandentia	Tupaiidae	Tupaia	XP_027621425.1		
XM_026491561	IFNL-A-Mammal	Ursus arctos horribilis	IFNL	Mammal	A	Laurasiatheria	Carnivora	Ursidae	Ursus			-
XM_027855301	IFNL-A-Mammal	Vombatus ursinus	IFNL	Mammal	A	Unclassified	Diprotodontia	Vombatidae	Vombatus	XM_027855301	xMa	
IFNL_Mammal_APsi-Hsa	IFNL-A-Mammal-1-psi-1	Homo sapiens	IFNL	Mammal	A	Euarchontoglires	Primates	Hominidae	Homo	NULL		
