taxon	sequenceID	species	species_and_gene_id	species_superorder	species_order	species_family	species_genus	gene_id	glycosylation_o1	glycosylation_o2	glycosylation_o3	glycosylation_o4	glycosylation_o5	glycosylation_o6
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_002927388	XM_002927388	Ailuropoda melanoleuca	XM_002927388/Ailuropoda melanoleuca	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	Placental2_Carnivore-10	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_003270380	XM_003270380	Nomascus leucogenys	XM_003270380/Nomascus leucogenys	Euarchontoglires	Primates	Hylobatidae	Nomascus	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_003270381	XM_003270381	Nomascus leucogenys	XM_003270381/Nomascus leucogenys	Euarchontoglires	Primates	Hylobatidae	Nomascus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_003420833	XM_003420833	Loxodonta africana	XM_003420833/Loxodonta africana	Afrotheria	Proboscidea	Elephantidae	Loxodonta	Placental2_Tethytheria-16	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_003735566	XM_003735566	Callithrix jacchus	XM_003735566/Callithrix jacchus	Euarchontoglires	Primates	Cebidae	Callithrix	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_003802138	XM_003802138	Otolemur garnettii	XM_003802138/Otolemur garnettii	Euarchontoglires	Primates	Galagidae	Otolemur	Placental1_Strepsirhine-4	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_003802158	XM_003802158	Otolemur garnettii	XM_003802158/Otolemur garnettii	Euarchontoglires	Primates	Galagidae	Otolemur	Placental2_Strepsirhine-4	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_003915503	XM_003915503	Papio anubis	XM_003915503/Papio anubis	Euarchontoglires	Primates	Cercopithecidae	Papio	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_003943132	XM_003943132	Saimiri boliviensis	XM_003943132/Saimiri boliviensis	Euarchontoglires	Primates	Cebidae	Saimiri	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_004060705	XM_004060705	Gorilla gorilla	XM_004060705/Gorilla gorilla	Euarchontoglires	Primates	Hominidae	Gorilla	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_004388217	XM_004388217	Trichechus manatus	XM_004388217/Trichechus manatus	Afrotheria	Sirenia	Trichechidae	Trichechus	Placental1_Tethytheria-16	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_004396490	XM_004396490	Odobenus rosmarus divergens	XM_004396490/Odobenus rosmarus divergens	Laurasiatheria	Carnivora	Odobenidae	Odobenus	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_004396491	XM_004396491	Odobenus rosmarus	XM_004396491/Odobenus rosmarus	Laurasiatheria	Carnivora	Odobenidae	Odobenus	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_004396492	XM_004396492	Odobenus rosmarus	XM_004396492/Odobenus rosmarus	Laurasiatheria	Carnivora	Odobenidae	Odobenus	Placental2_Carnivore-10	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_004430284	XM_004430284	Ceratotherium simum	XM_004430284/Ceratotherium simum	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium	Placental1_RTG-14	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_004481462	XM_004481462	Dasypus novemcinctus	XM_004481462/Dasypus novemcinctus	Xenarthra	Cingulata	Dasypodidae	Dasypus	Placental1_Xenarthra-15	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_004595181	XM_004595181	Ochotona princeps	XM_004595181/Ochotona princeps	Euarchontoglires	Lagomorpha	Ochotonidae	Ochotona	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_004617294	XM_004617294	Sorex araneus	XM_004617294/Sorex araneus	Laurasiatheria	Insectivora	Soricidae	Sorex	Placental2_Eulipotyphyla-9	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_004617296	XM_004617296	Sorex araneus	XM_004617296/Sorex araneus	Laurasiatheria	Insectivora	Soricidae	Sorex	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_004636880	XM_004636880	Octodon degus	XM_004636880/Octodon degus	Euarchontoglires	Rodentia	Octodontidae	Octodon	Placental2_Rodent-2.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_004636881	XM_004636881	Octodon degus	XM_004636881/Octodon degus	Euarchontoglires	Rodentia	Octodontidae	Octodon	Placental2_Rodent-2.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_004636883	XM_004636883	Octodon degus	XM_004636883/Octodon degus	Euarchontoglires	Rodentia	Octodontidae	Octodon	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_004636884	XM_004636884	Octodon degus	XM_004636884/Octodon degus	Euarchontoglires	Rodentia	Octodontidae	Octodon	Placental2_Rodent-2.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_004687048	XM_004687048	Condylura cristata	XM_004687048/Condylura cristata	Laurasiatheria	Insectivora	Talpidae	Condylura	Placental1_RTG-14	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_004710310	XM_004710310	Echinops telfairi	XM_004710310/Echinops telfairi	Afrotheria	Unclassified	Tenrecidae	Echinops	Placental2_Afroinsectivoria-16	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_004710487	XM_004710487	Echinops telfairi	XM_004710487/Echinops telfairi	Afrotheria	Unclassified	Tenrecidae	Echinops	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_005219126	XM_005219126	Bos taurus	XM_005219126/Bos taurus	Laurasiatheria	Unclassified	Bovidae	Bos	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_005219127	XM_005219127	Bos taurus	XM_005219127/Bos taurus	Laurasiatheria	Unclassified	Bovidae	Bos	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_005336481	XM_005336481	Ictidomys tridecemlineatus	XM_005336481/Ictidomys tridecemlineatus	Euarchontoglires	Rodentia	Sciuridae	Ictidomys	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_005589166	XM_005589166	Macaca fascicularis	XM_005589166/Macaca fascicularis	Euarchontoglires	Primates	Cercopithecidae	Macaca	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_005589169	XM_005589169	Macaca fascicularis	XM_005589169/Macaca fascicularis	Euarchontoglires	Primates	Cercopithecidae	Macaca	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_005589170	XM_005589170	Macaca fascicularis	XM_005589170/Macaca fascicularis	Euarchontoglires	Primates	Cercopithecidae	Macaca	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_005596230	XM_005596230	Equus caballus	XM_005596230/Equus caballus	Laurasiatheria	Perissodactyla	Equidae	Equus	Placental2_Perissodactyl-8	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_005886334	XM_005886334	Myotis brandtii	XM_005886334/Myotis brandtii	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_006096748	XM_006096748	Myotis lucifugus	XM_006096748/Myotis lucifugus	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_006140390	XM_006140390	Tupaia chinensis	XM_006140390/Tupaia chinensis	Euarchontoglires	Scandentia	Tupaiidae	Tupaia	Placental2_Scandentia-ND1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_006540121	XM_006540121	Mus musculus	XM_006540121/Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	NK_Rodent-2.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_006540130	XM_006540130	Mus musculus	XM_006540130/Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	Placental2_Rodent-2.2	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_006871441	XM_006871441	Chrysochloris asiatica	XM_006871441/Chrysochloris asiatica	Afrotheria	Unclassified	Chrysochloridae	Chrysochloris	Placental1_Afroinsectivoria-16	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_006878034	XM_006878034	Chrysochloris asiatica	XM_006878034/Chrysochloris asiatica	Afrotheria	Unclassified	Chrysochloridae	Chrysochloris	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_006911731	XM_006911731	Pteropus alecto	XM_006911731/Pteropus alecto	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_006941288	XM_006941288	Felis catus	XM_006941288/Felis catus	Laurasiatheria	Carnivora	Felidae	Felis	Placental1_Carnivore-11	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_007179988	XM_007179988	Balaenoptera acutorostrata	XM_007179988/Balaenoptera acutorostrata	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	Placental2_Cetartiodactyla-7	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_007179990	XM_007179990	Balaenoptera acutorostrata	XM_007179990/Balaenoptera acutorostrata	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	Placental2_Cetartiodactyla-7	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_007180046	XM_007180046	Balaenoptera acutorostrata scammoni	XM_007180046/Balaenoptera acutorostrata scammoni	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_007180047	XM_007180047	Balaenoptera acutorostrata scammoni	XM_007180047/Balaenoptera acutorostrata scammoni	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_007523978	XM_007523978	Erinaceus europaeus	XM_007523978/Erinaceus europaeus	Laurasiatheria	Insectivora	Erinaceidae	Erinaceus	Placental2_Eulipotyphyla-9	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_007524024	XM_007524024	Erinaceus europaeus	XM_007524024/Erinaceus europaeus	Laurasiatheria	Insectivora	Erinaceidae	Erinaceus	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_007524025	XM_007524025	Erinaceus europaeus	XM_007524025/Erinaceus europaeus	Laurasiatheria	Insectivora	Erinaceidae	Erinaceus	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_007524026	XM_007524026	Erinaceus europaeus	XM_007524026/Erinaceus europaeus	Laurasiatheria	Insectivora	Erinaceidae	Erinaceus	Placental1_Eulipotyphyla-ND2	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_007660152	XM_007660152	Ornithorhynchus anatinus	XM_007660152/Ornithorhynchus anatinus	Unclassified	Monotremata	Ornithorhynchidae	Ornithorhynchus	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_007945560	XM_007945560	Orycteropus afer	XM_007945560/Orycteropus afer	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	Placental1_Tubulidentata-16	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_007958477	XM_007958477	Orycteropus afer	XM_007958477/Orycteropus afer	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	Placental1_Tubulidentata-16	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_007996757	XM_007996757	Chlorocebus sabaeus	XM_007996757/Chlorocebus sabaeus	Euarchontoglires	Primates	Cercopithecidae	Chlorocebus	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_007996760	XM_007996760	Chlorocebus sabaeus	XM_007996760/Chlorocebus sabaeus	Euarchontoglires	Primates	Cercopithecidae	Chlorocebus	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_008057580	XM_008057580	Carlito syrichta	XM_008057580/Carlito syrichta	Euarchontoglires	Primates	Tarsiidae	Tarsius	Placental2_Carlito-3	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_008057587	XM_008057587	Carlito syrichta	XM_008057587/Carlito syrichta	Euarchontoglires	Primates	Tarsiidae	Tarsius	Placental1_Carlito-3	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_008140039	XM_008140039	Eptesicus fuscus	XM_008140039/Eptesicus fuscus	Laurasiatheria	Chiroptera	Vespertilionidae	Eptesicus	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-refseqs/XM_008173201	XM_008173201	-	XM_008173201/-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_008257170	XM_008257170	Oryctolagus cuniculus	XM_008257170/Oryctolagus cuniculus	Euarchontoglires	Lagomorpha	Leporidae	Oryctolagus	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_008582050	XM_008582050	Galeopterus variegatus	XM_008582050/Galeopterus variegatus	Euarchontoglires	Dermoptera	Cynocephalidae	Galeopterus	Placental1_Dermoptera-5	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_008854037	XM_008854037	Nannospalax galili	XM_008854037/Nannospalax galili	Euarchontoglires	Rodentia	Spalacidae	Nannospalax	Placental1_Rodent-2.2	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_008964649	XM_008964649	Pan paniscus	XM_008964649/Pan paniscus	Euarchontoglires	Primates	Hominidae	Pan	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_010330964	XM_010330964	Saimiri boliviensis	XM_010330964/Saimiri boliviensis	Euarchontoglires	Primates	Cebidae	Saimiri	Placental2_Haplorhine-1.2	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_010380919	XM_010380919	Rhinopithecus roxellana	XM_010380919/Rhinopithecus roxellana	Euarchontoglires	Primates	Cercopithecidae	Rhinopithecus	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_010380920	XM_010380920	Rhinopithecus roxellana	XM_010380920/Rhinopithecus roxellana	Euarchontoglires	Primates	Cercopithecidae	Rhinopithecus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_010600326	XM_010600326	Loxodonta africana	XM_010600326/Loxodonta africana	Afrotheria	Proboscidea	Elephantidae	Loxodonta	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_010600327	XM_010600327	Loxodonta africana	XM_010600327/Loxodonta africana	Afrotheria	Proboscidea	Elephantidae	Loxodonta	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-a/XM_010600391	XM_010600391	Loxodonta africana	XM_010600391/Loxodonta africana	Afrotheria	Proboscidea	Elephantidae	Loxodonta	Placental1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_010972051	XM_010972051	Camelus bactrianus	XM_010972051/Camelus bactrianus	Laurasiatheria	Unclassified	Camelidae	Camelus	Placental2_Cetartiodactyla-7	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_010985162	XM_010985162	Camelus dromedarius	XM_010985162/Camelus dromedarius	Laurasiatheria	Unclassified	Camelidae	Camelus	Placental2_Cetartiodactyla-7	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_011225064	XM_011225064	Ailuropoda melanoleuca	XM_011225064/Ailuropoda melanoleuca	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	Placental1_RTG-14	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_011234942	XM_011234942	Ailuropoda melanoleuca	XM_011234942/Ailuropoda melanoleuca	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	Placental1_Carnivore-11	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_011764819	XM_011764819	Macaca nemestrina	XM_011764819/Macaca nemestrina	Euarchontoglires	Primates	Cercopithecidae	Macaca	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_011764820	XM_011764820	Macaca nemestrina	XM_011764820/Macaca nemestrina	Euarchontoglires	Primates	Cercopithecidae	Macaca	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_011952423	XM_011952423	Colobus angolensis	XM_011952423/Colobus angolensis	Euarchontoglires	Primates	Cercopithecidae	Colobus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_011952424	XM_011952424	Colobus angolensis palliatus	XM_011952424/Colobus angolensis palliatus	Euarchontoglires	Primates	Cercopithecidae	Colobus	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_011973358	XM_011973358	Mandrillus leucophaeus	XM_011973358/Mandrillus leucophaeus	Euarchontoglires	Primates	Cercopithecidae	Mandrillus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_011973361	XM_011973361	Mandrillus leucophaeus	XM_011973361/Mandrillus leucophaeus	Euarchontoglires	Primates	Cercopithecidae	Mandrillus	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_012077988	XM_012077988	Cercocebus atys	XM_012077988/Cercocebus atys	Euarchontoglires	Primates	Cercopithecidae	Cercocebus	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_012077999	XM_012077999	Cercocebus atys	XM_012077999/Cercocebus atys	Euarchontoglires	Primates	Cercopithecidae	Cercocebus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_012078033	XM_012078033	Cercocebus atys	XM_012078033/Cercocebus atys	Euarchontoglires	Primates	Cercopithecidae	Cercocebus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_012438845	XM_012438845	Aotus nancymaae	XM_012438845/Aotus nancymaae	Euarchontoglires	Primates	Aotidae	Aotus	Placental1_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_012438872	XM_012438872	Aotus nancymaae	XM_012438872/Aotus nancymaae	Euarchontoglires	Primates	Aotidae	Aotus	Placental2_Haplorhine-1.2	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-curated-mammalia-b/XM_012657015	XM_012657015	Propithecus coquereli	XM_012657015/Propithecus coquereli	Euarchontoglires	Primates	Indriidae	Propithecus	Placental2_Strepsirhine-4	-	-	-	-	-	-
